Location,Sample,CREB,JNK,NFkB,p38,ERK12,Akt,p70S6K,STAT3,STAT5,Total Events
"145(1,A10)",ASP VEH 2,2210.5,4311,18.5,341.5,2668,8881,55.5,119,82,1111
"146(1,B10)",ASP VEH 2,2106.5,4263,21,323,2489,8323.5,55,117.5,75.5,1125
"147(1,C10)",ASP VEH 2,2192,4145,17,328,2533.5,8299,47,103.5,75,1152
"148(1,D10)",ASP VEH 3,2813,4150,20,321.5,2893.5,8900.5,55,132.5,87,1068
"149(1,E10)",ASP VEH 3,2568.5,3912.5,19,305,2669,8569,57,115,71,1175
"150(1,F10)",ASP VEH 3,2880,4307.5,19,308.5,2617,8723.5,41,117.5,84,1089
"151(1,G10)",AAA WELL 1,4026.5,700,14,240,1577,6762.5,54.5,104.5,79,1305
"152(1,H10)",AAA WELL 1,2904.5,400,14,176.5,1248.5,5298.5,55,98,55.5,1188
"153(1,I10)",AAA WELL 1,3474,357,15,206,1339,5845,54,94,70,1132
"154(1,J10)",AAA WELL 2,3345.5,582,17,189.5,1632,6683,57,98,62.5,1267
"155(1,K10)",AAA WELL 2,3361,595,15,187,1575.5,6436,55,99,62.5,1043
"156(1,L10)",AAA WELL 2,2993,604,16,176,1614,6325,53,90,62,1218
"157(1,M10)",AAA WELL 3,3496.5,715,15,202,1740,6953,53,93,66,1224
"158(1,N10)",AAA WELL 3,2832,447.5,16,190,1510,6343.5,53,105,58,1150
"159(1,O10)",AAA WELL 3,2846,352,15.5,184,1515,6183,64,97,59.5,1231
"161(1,A11)",AAA VEH 1,931,2182,19,168,1782,4113.5,51,79.5,41,1213
"162(1,B11)",AAA VEH 1,3120.5,4015,17,285,2981,7750.5,43,112,67,1375
"163(1,C11)",AAA VEH 1,3038.5,3841,17,290.5,2791.5,8063,46,105,73.5,1061
"164(1,D11)",AAA VEH 2,4099.5,4670.5,17,283,3219,9433,50.5,113,81,1129
"165(1,E11)",AAA VEH 2,3262.5,4066,20,251,2927,8825.5,51,103,67,1379
"166(1,F11)",AAA VEH 2,3961,4684,18,274,3014,9707.5,48.5,121,83,1237
"167(1,G11)",AAA VEH 3,1602.5,3426,17,261,2940.5,6839,45,100,61,1097
"168(1,H11)",AAA VEH 3,1772,3560.5,19,254,3014,7083,55,102,57.5,1138
"169(1,I11)",AAA VEH 3,1783,3408.5,17,267,3102,7334,50,103.5,61,1248
"170(1,J11)",DS WELL 1,3430.5,4201,17,364,2207,8997,51,123,82,1077
"171(1,K11)",DS WELL 1,3296.5,4480.5,18,373,2350,9410.5,53,123,86,1185
"172(1,L11)",DS WELL 1,3417.5,4373,17,371.5,2376,9507,54.5,122.5,80,1211
"173(1,M11)",DS WELL 2,3437.5,4428,18,406,2180,9329,52,123.5,84,1251
"174(1,N11)",DS WELL 2,3668,4478,19,436,2163,9510,152,119.5,81.5,1203
"175(1,O11)",DS WELL 2,2926,4177,17,341,2105,8871,49,128,58,1152
"177(1,A12)",DS WELL 3,3158,4820,18,429,2499,10461.5,69.5,122.5,94,1218
"178(1,B12)",DS WELL 3,1065,2786,18,180.5,1778,5900,55,92.5,43.5,1190
"179(1,C12)",DS WELL 3,2116,4308,21,334.5,2260.5,9232,51.5,104.5,77,1243
"180(1,D12)",DS VEH 1,3953,4142.5,14.5,312,2476,9219,52,129,81,1075
"181(1,E12)",DS VEH 1,3205,3535,20.5,251,2254,7854,52,122,59,812
"182(1,F12)",DS VEH 1,4028,4037,17,324,2452,9053,45,125.5,93,1132
"183(1,G12)",DS VEH 2,3356,4181,18,361.5,2302,9032.5,54,108,74,1382
"184(1,H12)",DS VEH 2,3637,4494.5,20,436.5,2560,9593.5,56,130,71,1328
"185(1,I12)",DS VEH 2,2344,3628,18,296,2141,7531.5,47,113.5,57,1176
"186(1,J12)",DS VEH 3,2267,3002,17,286,1401,6495,29,116,56.5,1391
"187(1,K12)",DS VEH 3,2550,3967,15,363,2103,7740,42,108,65,1030
"188(1,L12)",DS VEH 3,2006.5,2716.5,12,425,1958.5,7972,38,167.5,87,1463
