Location,Sample,ATF2,JNK,HSP27,P38,Erk/MAP Kinase 1/2,p53,MEK1,MSK1,STAT1,c-Jun,Total Events
"23(1,G2)",LA WELL 3,441,3847.5,26,223.5,3667,133,343,50,19,91.5,1162
"24(1,H2)",LA WELL 3,334,2752,216,275,2687,113,228.5,47,24,82,1204
"25(1,I2)",LA WELL 3,595,5581,4763.5,1349,4880,238,355.5,73,44.5,172,1284
"26(1,J2)",LA VEH 1,38,63,57,34.5,59,19,14,15.5,7,10,1171
"27(1,K2)",LA VEH 1,864,4895,22,2157,3744,169,433,85,75.5,161,1212
"28(1,L2)",LA VEH 1,473.5,3974,16,230,2961,132,332.5,62,81,89,1349
"29(1,M2)",LA VEH 2,698.5,4639,19,384.5,3548,159,416,101,252,105.5,1130
"30(1,N2)",LA VEH 2,661,4288,25,300,3467,156,500,138,624,102,1174
"31(1,O2)",LA VEH 2,647,4811,20.5,285,3581.5,153,470,116,438.5,117.5,1287
"33(1,A3)",LA VEH 3,541,4275,19,226,3333,143,375,61,18,110,1296
"34(1,B3)",LA VEH 3,479.5,4075,13.5,175,2590.5,125.5,333,60,16,88,1166
"35(1,C3)",LA VEH 3,588.5,4401,15,204,3162,130,391,68,19,113,1322
"36(1,D3)",AA WELL 1,464,4081,13,177,1596,129,315,31,17,101.5,1156
"37(1,E3)",AA WELL 1,452,3888,13,177.5,1772,150,342.5,32,19,94,1195
"38(1,F3)",AA WELL 1,413,3386,14,180.5,1575.5,127,258.5,29,16,93.5,1127
"39(1,G3)",AA WELL 2,399.5,3284,27,221,1701.5,123,345,33.5,18,101,1138
"40(1,H3)",AA WELL 2,422,3313,124,281,1710,117.5,297,32,20,95,1177
"41(1,I3)",AA WELL 2,479,3912.5,25.5,274,2131.5,158,370,33,26,120,1171
"42(1,J3)",AA WELL 3,153,485,125.5,381.5,773,114,80,25,31,96.5,1238
"43(1,K3)",AA WELL 3,189,576,11,331.5,982,111.5,80,25,50,90,1187
"44(1,L3)",AA WELL 3,70,210,12,180,560,114,74,32,129,93,1198
"45(1,M3)",AA VEH 1,615,4791,14.5,218,3158,122.5,352,76,84.5,108,1237
"46(1,N3)",AA VEH 1,565,4463,19,227,3111,126.5,328,92,299,98.5,1217
"47(1,O3)",AA VEH 1,335,1673,19.5,195,2646.5,136.5,244,86,480,93,1387
"49(1,A4)",AA VEH 2,539,4324,21,227.5,3073,147.5,365,62.5,24,111,1213
"50(1,B4)",AA VEH 2,523,4181,16,174,2954,140.5,346,55,19,93.5,1181
"51(1,C4)",AA VEH 2,506,4361,14,180,3065.5,135,358.5,62,16,101,1155
"52(1,D4)",AA VEH 3,445,3631.5,15,169,2772,126,305.5,53,16,90,1231
"53(1,E4)",AA VEH 3,560,4338,15,186,2901.5,141,332,64.5,16,104,1293
"54(1,F4)",AA VEH 3,449,3433,14,172,2799,133,261,50,14,95,1221
"55(1,G4)",F6P WELL 1,401,4033,14,200,3571,118,255,50,19,94,1223
"56(1,H4)",F6P WELL 1,376.5,3724,15,198.5,3393,127.5,232.5,46,16,94,1559
"57(1,I4)",F6P WELL 1,499,4385,15.5,209,4008.5,137,298.5,56,18,90,1198
"58(1,J4)",F6P WELL 2,491,3944,59,369.5,3623,139,288,58,28,90.5,1261
"59(1,K4)",F6P WELL 2,461,4025.5,15,315,3589,120.5,266.5,57,36,90.5,1202
"60(1,L4)",F6P WELL 2,477,3861,15,197,3718.5,130.5,310,61,77,95,1175
"61(1,M4)",F6P WELL 3,483,3711,17,209.5,3968,135,285,82,220.5,100.5,1181
"62(1,N4)",F6P WELL 3,395,3213,16,194.5,3386,129,246,70.5,250.5,81.5,1276
"63(1,O4)",F6P WELL 3,429,3315,16,224,3684.5,134,274,80,275.5,97,1307
"65(1,A5)",F6P VEH 1,505,4545.5,15,245,3773.5,161,345,57,20,115,1227
"66(1,B5)",F6P VEH 1,436,3976,13,193.5,3664,132,323,52.5,17,86.5,1351
"67(1,C5)",F6P VEH 1,426,3829.5,15,191,3629.5,132,296,51,18,86,1128
"68(1,D5)",F6P VEH 2,446,4312,16,199,3904.5,111,315,49,16,84,1272
"69(1,E5)",F6P VEH 2,497.5,4601.5,17,213,4181.5,139,355.5,58,18,106,1113
"70(1,F5)",F6P VEH 2,415.5,3875,16,188,3728.5,136,284.5,50,16,96.5,1255
"71(1,G5)",F6P VEH 3,374,3336.5,13,164,3276.5,127,182,42,17.5,92,1288
"72(1,H5)",F6P VEH 3,363,3620,15,181,3607,122.5,173,43,16,87,1185
"73(1,I5)",F6P VEH 3,389,3464,17,184,3661,139,187,43,15.5,94,1164
"74(1,J5)",R WELL 1,427,520,82,507,1459,114.5,569.5,33,22,99.5,1150
"75(1,K5)",R WELL 1,367,408,11,354,1338,132,629.5,34,54,106,1301
"76(1,L5)",R WELL 1,396.5,395.5,12,327,1468,109,700.5,47.5,129.5,81,1182
"77(1,M5)",R WELL 2,634.5,420,12,360,1852,129,683.5,64,212.5,104,1253
"78(1,N5)",R WELL 2,350,360.5,13,247.5,1444,127,454.5,48,167.5,87,1186
"79(1,O5)",R WELL 2,410,288,11,294,1352,123,454,41,118,91,1170
"81(1,A6)",R WELL 3,343,435.5,13.5,298.5,1238,145.5,495,29,17.5,110,1225
"82(1,B6)",R WELL 3,353,206,12,267,1080.5,121.5,509.5,24,13,95,1333
"83(1,C6)",R WELL 3,274,279,11,271,1032.5,126,437,25,16,110,1183
"84(1,D6)",R VEH 1,496.5,3989.5,14,239,1767.5,121,359,57,16,81,1231
"85(1,E6)",R VEH 1,510,4330,14,251,2186.5,128,366.5,60,14,88.5,1176
"86(1,F6)",R VEH 1,444,3731,12,230.5,1768,119,354,54.5,16,81,1217
"87(1,G6)",R VEH 2,522,4154,15,274.5,1877.5,149,423,60.5,17,98,1158
"88(1,H6)",R VEH 2,445,4000.5,17,248,1718.5,130,394,53,18.5,83,1230
"89(1,I6)",R VEH 2,507,4163,16,279,1883,132,403,64.5,20,103,1246
"90(1,J6)",R VEH 3,499,3652,34,336.5,1706.5,115.5,351.5,49,20.5,88.5,1156
"91(1,K6)",R VEH 3,521,3414.5,14,309,1856.5,120,368.5,55.5,35,91,1141
"92(1,L6)",R VEH 3,508,3652,14,259,1821,127,362,61,114,87,1172
"93(1,M6)",N WELL 1,449,3563,14,227,2201,127,491,69,151,98.5,1202
"94(1,N6)",N WELL 1,362.5,3325,14,199,2098.5,100.5,425.5,57,101,82,1302
"95(1,O6)",N WELL 1,447.5,3647,17,219,2391.5,132,525.5,65,124,95.5,1099
"97(1,A7)",N WELL 2,563,3970,16,244,2327,135,567,61,16,109,1299
"98(1,B7)",N WELL 2,419,3800,16,190,1977,115,528,52,17,85.5,1159
"99(1,C7)",N WELL 2,471,4023.5,15,214,2210,129.5,529,52.5,17,88.5,1409
"100(1,D7)",N WELL 3,439,4163,15,223,1832,117,506,56,15,81,1442
"101(1,E7)",N WELL 3,610,4917,14,309,2304,138,673.5,71,19,95,1252
"102(1,F7)",N WELL 3,459,4129,14,239.5,1951,126,503.5,53.5,15.5,82,1167
"103(1,G7)",N VEH 1,389.5,4571,14,227,2097.5,125,459,57,15,85.5,1191
"104(1,H7)",N VEH 1,444.5,4331,15,239,2115,138,467,57,15,86,1504
"105(1,I7)",N VEH 1,484,4405,17,265.5,2282,133.5,496,57,18,96,1177
"106(1,J7)",N VEH 2,472,4721,18,327.5,2018,122,486,56.5,20,79,1193
"107(1,K7)",N VEH 2,529,5077.5,17,318.5,2294,132.5,526,64,30,91,1139
"108(1,L7)",N VEH 2,439,4636,14,267,2212,131.5,458,63.5,86,91.5,1298
"109(1,M7)",N VEH 3,436,3530,14,245.5,2302,127,512,76,105.5,88.5,1155
"110(1,N7)",N VEH 3,359,3280,14,211,2254,126,471,67,125.5,91,1243
"111(1,O7)",N VEH 3,380,3625,16,215,2129,120,491,71.5,85,87.5,1170
"113(1,A8)",LT WELL 1,489.5,5007,18,225.5,3309,133,544,46,19,102.5,1258
"114(1,B8)",LT WELL 1,348,4404.5,14,178.5,2777,103,372,36,16.5,78.5,1116
"115(1,C8)",LT WELL 1,367,4464,14,182.5,3079.5,132,418.5,39,17,91,1213
"116(1,D8)",LT WELL 2,359,4210,15,200,2960,118.5,456,38,17,89,1340
"117(1,E8)",LT WELL 2,415.5,4548.5,15,225,3350,129.5,557,45,20,93.5,1117
"118(1,F8)",LT WELL 2,406.5,4422,15,199.5,3128,117.5,476,43,15,90,1198
"119(1,G8)",LT WELL 3,462,4407.5,16,222,3073.5,143,548.5,54,16,101,1289
"120(1,H8)",LT WELL 3,377,3826,16,210.5,2456,102,403,45.5,17,74,1208
"121(1,I8)",LT WELL 3,439.5,4143,14.5,242,2938.5,138.5,441,51.5,17,92,1255
"122(1,J8)",LT VEH 1,371,4592,15,229,3170,125.5,422,39,22,92.5,1244
"123(1,K8)",LT VEH 1,400,4711.5,14,220,3435.5,114.5,468,42,26,89.5,1216
"124(1,L8)",LT VEH 1,357,4051,16,180,2992.5,123.5,400,44,66.5,78.5,1228
"125(1,M8)",LT VEH 2,326.5,3088,15,192,2563,124,390,42,73.5,90,1127
"126(1,N8)",LT VEH 2,305,3532,15,206,2623,122,397,49,126.5,91.5,1143
"127(1,O8)",LT VEH 2,354,3826,16,203,2800,122.5,449,45,75,96.5,1220
"129(1,A9)",LT VEH 3,462,4487,18,230,2979,122.5,513,53,18,85.5,1304
"130(1,B9)",LT VEH 3,364,4090.5,13,204,2807.5,127,397.5,47,15,88,1185
"131(1,C9)",LT VEH 3,377,3819,14,200.5,2503,120,424,50,18.5,84,1211
"132(1,D9)",ASP WELL 1,295,3524,14,164,2301.5,119,260,31,15,72,1267
"133(1,E9)",ASP WELL 1,350,4200.5,15,190,2373.5,124.5,319,36.5,17,93,1213
"134(1,F9)",ASP WELL 1,260.5,3322,13,164.5,2172,121,269,32,13,86,1190
"135(1,G9)",ASP WELL 2,444,4535.5,13,200,2241.5,122,536,60,15,81,1143
"136(1,H9)",ASP WELL 2,406,4462.5,13,183.5,2198,111,462.5,54.5,16,82,1104
"137(1,I9)",ASP WELL 2,411.5,4468,13,209,2282,125,487,56.5,18,89,1244
"138(1,J9)",ASP WELL 3,467,4515,13,200.5,2315.5,128,477,74,17.5,85,1330
"139(1,K9)",ASP WELL 3,488,4464,14.5,216,2385,109.5,504.5,76,24,88,1153
"140(1,L9)",ASP WELL 3,407,4089,15,191,2249,114.5,438,77,88,90,1300
"141(1,M9)",ASP VEH 1,315,3408.5,16,195,2684,134,333,43,80,93,1119
"142(1,N9)",ASP VEH 1,274,3066,16,169,2518,119,315,44,119.5,76,1310
"143(1,O9)",ASP VEH 1,321.5,3565,14.5,177.5,2680.5,119,318.5,48,75,96,1118
"145(1,A10)",ASP VEH 2,319,3913,17,190,2134,134,454.5,56,15,95.5,1167
"146(1,B10)",ASP VEH 2,304,3932.5,15.5,177,2046.5,123.5,393,49,15,88,1285
"147(1,C10)",ASP VEH 2,306,3650,15,174,2264.5,122.5,431,50.5,15,95.5,1193
"148(1,D10)",ASP VEH 3,351.5,3743.5,13,157,2291,106,486,60,13,82,1169
"149(1,E10)",ASP VEH 3,387,4246,15,179,2647,131,504,62,16,85,1254
"150(1,F10)",ASP VEH 3,336,3914,13,158,2264,107,494.5,60,13,74,1181
"151(1,G10)",AAA WELL 1,246.5,350,11,155.5,1016.5,131,385,21,18,93.5,1098
"152(1,H10)",AAA WELL 1,192.5,169,12,132.5,763,121,264,18,15,83,1342
"153(1,I10)",AAA WELL 1,258,335.5,10.5,157,1032.5,119,349.5,22,21,84.5,1249
"154(1,J10)",AAA WELL 2,243,388.5,11,149,1082.5,126,356,24,19,91,1142
"155(1,K10)",AAA WELL 2,233,303,13,154.5,1009,112,356,23.5,20,89,1241
"156(1,L10)",AAA WELL 2,194,368,10.5,145,1095.5,118,306,30,78.5,81,1131
"157(1,M10)",AAA WELL 3,275.5,361,11,176,1252.5,130,404.5,35,66.5,96,1226
"158(1,N10)",AAA WELL 3,210,337.5,10,140,1061,104,344.5,28,75,80.5,1170
"159(1,O10)",AAA WELL 3,279.5,289,13,176,1228,124,422,29,74.5,83.5,1279
"161(1,A11)",AAA VEH 1,296,3718,13,179,2479,118,452,32.5,16,77.5,1191
"162(1,B11)",AAA VEH 1,300,3814,13,161,2559.5,108,481,31,15,81,1207
"163(1,C11)",AAA VEH 1,273,3881,14,184,2548,138,464,34,16,96.5,1129
"164(1,D11)",AAA VEH 2,326.5,3920,14,160,2832,138,524,36.5,15,92.5,1329
"165(1,E11)",AAA VEH 2,303,3883,14,163,2942,131,496,35.5,17,85,1106
"166(1,F11)",AAA VEH 2,282,3594,14,154,2663,122,443,36,15,86,1161
"167(1,G11)",AAA VEH 3,274,3093,14,159,2675,116,352.5,42,17,80.5,1235
"168(1,H11)",AAA VEH 3,258.5,3038,14,151.5,2647,112,310.5,40,16,74,1318
"169(1,I11)",AAA VEH 3,272.5,3020,13.5,160,2677,120,375,44,17,89,1315
"170(1,J11)",DS WELL 1,396,3937,15,199,1810,124,633,70,14.5,96,1203
"171(1,K11)",DS WELL 1,396,4080.5,15.5,194,1871,118,608,66,18.5,90,1124
"172(1,L11)",DS WELL 1,352,3540,13,179,1695,101,541.5,62,52,73.5,1137
"173(1,M11)",DS WELL 2,405.5,3561.5,15.5,191,1684.5,135,602,67,63,97,1269
"174(1,N11)",DS WELL 2,308,3085,13,171,1524,109.5,482,58,37,79,1307
"175(1,O11)",DS WELL 2,349,3513,16,199,1674,125,624,62.5,39,95,1231
"177(1,A12)",DS WELL 3,404,3871.5,15,198,1853,146,542.5,67.5,17,105,1207
"178(1,B12)",DS WELL 3,320,3369,13,153.5,1718,107.5,497,62,14,74,1317
"179(1,C12)",DS WELL 3,384,3974,14,185.5,2181.5,121,570,67.5,12,92,1186
"180(1,D12)",DS VEH 1,406,3523.5,17,165,1898,106,710.5,66,14.5,79,1223
"181(1,E12)",DS VEH 1,420.5,3637,14,180,1967.5,129,733.5,70,14,79.5,1201
"182(1,F12)",DS VEH 1,382.5,3387.5,13,167,1830.5,103,598.5,64,13.5,73,1266
"183(1,G12)",DS VEH 2,378,3568,15,188,1994,143,688,65,17,101,1224
"184(1,H12)",DS VEH 2,308.5,3050,14,175.5,1630,118,515,56,13,80.5,1186
"185(1,I12)",DS VEH 2,326.5,3379.5,16,180.5,1690,122,569.5,65,12,89,1132
"186(1,J12)",DS VEH 3,339.5,3959,11.5,210,1657.5,100.5,522,59.5,14,77,1177
"187(1,K12)",DS VEH 3,395,4077,16,244,1789,142,536,61,19,87,1298
"188(1,L12)",DS VEH 3,328.5,3784,15.5,206,1697.5,116,502.5,61,42,82,1184
